name,flag
4k,content/4k.png
hdr,content/hdr.png
chinese,content/chinese.png
danish,content/danish.png
dutch,content/dutch.png
english,content/english.png
french,content/french.png
german,content/german.png
icelandic,content/icelandic.png
indian,content/indian.png
iranian,content/iranian.png
italian,content/italian.png
japanese,content/japanese.png
korean,content/korean.png
norwegian,content/norwegian.png
russian,content/russian.png
spanish,content/spanish.png
swedish,content/swedish.png
thai,content/thai.png
turkish,content/turkish.png
